,Sale_Price
186,1
190,1
191,1
194,1
195,1
199,3
200,23
201,12
202,13
203,8
204,1
205,22
206,15
207,11
208,5
209,10
210,74
211,28
212,20
213,12
214,7
215,76
216,35
217,24
218,29
219,31
220,301
221,61
222,70
223,38
224,37
225,243
226,83
227,66
228,93
229,119
230,603
231,80
232,83
233,82
234,136
235,521
236,115
237,101
238,195
239,350
240,949
241,131
242,157
243,150
244,220
245,709
246,167
247,197
248,280
249,385
250,1013
251,171
252,202
253,178
254,176
255,677
256,255
257,185
258,278
259,427
260,1167
261,265
262,338
263,353
264,433
265,987
266,307
267,319
268,491
269,620
270,1293
271,326
272,476
273,465
274,498
275,1060
276,230
277,245
278,316
279,441
280,986
281,176
282,211
283,223
284,327
285,701
286,196
287,201
288,229
289,267
290,671
291,127
292,151
293,174
294,214
295,444
296,154
297,121
298,187
299,316
300,729
301,102
302,86
303,79
304,97
305,279
306,78
307,89
308,93
309,121
310,390
311,72
312,75
313,77
314,91
315,292
316,65
317,87
318,108
319,106
320,367
321,53
322,52
323,68
324,80
325,237
326,61
327,44
328,53
329,92
330,323
331,62
332,52
333,56
334,54
335,206
336,85
337,77
338,102
339,131
340,408
341,127
342,76
343,87
344,79
345,330
346,90
347,73
348,98
349,146
350,642
351,132
352,74
353,81
354,102
355,374
356,118
357,105
358,146
359,164
360,640
361,104
362,117
363,102
364,164
365,473
366,143
367,113
368,152
369,239
370,650
371,118
372,106
373,117
374,208
375,661
376,129
377,130
378,172
379,214
380,743
381,121
382,114
383,117
384,163
385,543
386,175
387,153
388,179
389,262
390,665
391,88
392,99
393,118
394,142
395,432
396,124
397,122
398,196
399,317
400,806
401,85
402,72
403,53
404,56
405,236
406,71
407,55
408,81
409,100
410,370
411,72
412,70
413,58
414,103
415,283
416,64
417,73
418,93
419,124
420,488
421,83
422,71
423,72
424,80
425,364
426,53
427,45
428,61
429,113
430,301
431,54
432,45
433,47
434,42
435,244
436,51
437,50
438,57
439,93
440,318
441,40
442,45
443,38
444,82
445,196
446,41
447,51
448,73
449,113
450,408
451,46
452,42
453,26
454,46
455,197
456,33
457,29
458,39
459,47
460,216
461,32
462,23
463,21
464,38
465,129
466,35
467,16
468,40
469,59
470,179
471,26
472,26
473,25
474,41
475,195
476,32
477,24
478,36
479,55
480,195
481,30
482,26
483,20
484,41
485,124
486,53
487,34
488,46
489,41
490,167
491,35
492,14
493,14
494,26
495,135
496,23
497,16
498,51
499,95
500,331
501,42
502,23
503,10
504,17
505,89
506,26
507,15
508,16
509,30
510,135
511,37
512,30
513,16
514,18
515,142
516,18
517,18
518,26
519,42
520,209
521,29
522,28
523,17
524,24
525,168
526,32
527,22
528,31
529,32
530,178
531,37
532,27
533,20
534,20
535,152
536,53
537,33
538,38
539,42
540,233
541,28
542,17
543,23
544,37
545,157
546,24
547,21
548,30
549,81
550,371
551,39
552,30
553,17
554,23
555,157
556,26
557,20
558,33
559,41
560,255
561,31
562,28
563,24
564,39
565,192
566,26
567,31
568,45
569,92
570,256
571,31
572,44
573,29
574,39
575,235
576,36
577,24
578,34
579,41
580,217
581,31
582,25
583,29
584,30
585,154
586,37
587,27
588,34
589,57
590,211
591,30
592,32
593,19
594,31
595,115
596,28
597,17
598,53
599,85
600,383
601,77
602,31
603,28
604,18
605,113
606,25
607,19
608,38
609,34
610,159
611,36
612,23
613,14
614,14
615,113
616,36
617,23
618,30
619,42
620,179
621,33
622,22
623,22
624,32
625,176
626,27
627,15
628,32
629,27
630,143
631,20
632,14
633,12
634,14
635,113
636,21
637,15
638,27
639,42
640,133
641,29
642,14
643,12
644,14
645,95
646,21
647,13
648,22
649,45
650,253
651,27
652,23
653,11
654,11
655,75
656,13
657,14
658,17
659,24
660,120
661,15
662,20
663,23
664,15
665,85
666,25
667,23
668,23
669,27
670,125
671,22
672,26
673,15
674,25
675,172
676,24
677,18
678,23
679,35
680,152
681,21
682,33
683,9
684,17
685,110
686,44
687,24
688,25
689,31
690,160
691,23
692,17
693,12
694,14
695,77
696,15
697,10
698,25
699,70
700,329
701,43
702,29
703,15
704,18
705,70
706,18
707,16
708,13
709,25
710,108
711,28
712,14
713,10
714,31
715,95
716,20
717,11
718,13
719,34
720,139
721,19
722,11
723,7
724,14
725,106
726,17
727,14
728,17
729,23
730,94
731,14
732,12
733,9
734,10
735,80
736,19
737,12
738,14
